year|origin|dest|export_val
2008|ago|civ|0
2008|ago|dza|23076.0
2008|ago|egy|0
2008|ago|ken|0
2008|ago|sdn|0
2008|ago|sen|0
2008|ago|tgo|0
2008|ago|tza|0
2008|ago|zaf|1090656.0
2008|ago|zmb|8598.0
2008|ago|zwe|4240.0
2008|ago|are|0
2008|ago|chn|0
2008|ago|hkg|0
2008|ago|isr|0
2008|ago|jpn|0
2008|ago|khm|0
2008|ago|kor|16052.0
2008|ago|lbn|0
2008|ago|pak|0
2008|ago|sgp|0
2008|ago|tha|0
2008|ago|tur|0
2008|ago|vnm|0
2008|ago|aut|0
2008|ago|bih|0
2008|ago|blr|0
2008|ago|blx|32641.27
2008|ago|che|0
2008|ago|cze|0
2008|ago|deu|9000.0
2008|ago|dnk|0
2008|ago|esp|226201.0
2008|ago|fin|0
2008|ago|fra|0
2008|ago|gbr|0
2008|ago|hun|0
2008|ago|irl|0
2008|ago|ita|27163.0
2008|ago|nld|137034.0
2008|ago|nor|0
2008|ago|pol|0
2008|ago|prt|117798.88
2008|ago|rou|0
2008|ago|rus|0
2008|ago|srb|0
2008|ago|svk|0
2008|ago|swe|0
2008|ago|can|0
2008|ago|cri|2925.0
2008|ago|gtm|0
2008|ago|mex|0
2008|ago|nic|0
2008|ago|pan|0
2008|ago|usa|0
2008|ago|aus|0
2008|ago|nzl|0
2008|ago|arg|0
2008|ago|bra|0
2008|ago|per|6077.0
2008|ago|ury|0
2008|bdi|ken|0
2008|bdi|mwi|10955.0
2008|bdi|sdn|32000.0
2008|bdi|sen|0
2008|bdi|tza|409021.0
2008|bdi|uga|0
2008|bdi|zaf|0
2008|bdi|are|0
2008|bdi|chn|0
2008|bdi|cyp|0
2008|bdi|isr|137000.0
2008|bdi|jpn|0
2008|bdi|tha|0
2008|bdi|aut|0
2008|bdi|blx|15777.0
2008|bdi|che|59826.0
2008|bdi|deu|0
2008|bdi|dnk|0
2008|bdi|esp|0
2008|bdi|fra|0
2008|bdi|gbr|0
2008|bdi|irl|0
2008|bdi|ita|12760.0
2008|bdi|nld|0
2008|bdi|swe|0
2008|bdi|can|0
2008|bdi|usa|0
2008|bdi|bra|0
2008|ben|civ|0
2008|ben|egy|0
2008|ben|sen|0
2008|ben|tgo|86698.0
2008|ben|zaf|0
2008|ben|are|0
2008|ben|chn|0
2008|ben|hkg|0
2008|ben|isr|0
2008|ben|jpn|0
2008|ben|kor|0
2008|ben|lbn|0
2008|ben|sgp|0
2008|ben|tha|0
2008|ben|aut|0
2008|ben|blr|0
2008|ben|blx|9879.0
2008|ben|che|0
2008|ben|cze|0
2008|ben|deu|0
2008|ben|dnk|0
2008|ben|esp|0
2008|ben|fra|8841.0
2008|ben|gbr|0
2008|ben|grc|0
2008|ben|hrv|0
2008|ben|hun|0
2008|ben|ita|7341.0
2008|ben|ltu|0
2008|ben|nld|0
2008|ben|nor|0
2008|ben|pol|0
2008|ben|prt|0
2008|ben|svk|0
2008|ben|swe|0
2008|ben|can|0
2008|ben|dom|8127.0
2008|ben|usa|0
2008|ben|nzl|0
2008|ben|arg|0
2008|ben|bra|0
2008|bfa|civ|33113.0
2008|bfa|egy|0
2008|bfa|mli|7121.0
2008|bfa|sen|0
2008|bfa|tgo|37883.0
2008|bfa|tun|0
2008|bfa|are|0
2008|bfa|chn|0
2008|bfa|jpn|0
2008|bfa|kor|0
2008|bfa|tha|0
2008|bfa|tur|0
2008|bfa|aut|0
2008|bfa|blx|0
2008|bfa|che|0
2008|bfa|cze|0
2008|bfa|deu|0
2008|bfa|dnk|0
2008|bfa|esp|0
2008|bfa|fra|51572.0
2008|bfa|gbr|0
