year|origin|dest|export_val
2008|ago|egy|0
2008|ago|sen|0
2008|ago|zaf|0
2008|ago|zwe|1727.0
2008|ago|are|0
2008|ago|chn|0
2008|ago|isr|0
2008|ago|jor|0
2008|ago|jpn|0
2008|ago|kor|0
2008|ago|lbn|0
2008|ago|sgp|0
2008|ago|tha|0
2008|ago|tur|0
2008|ago|vnm|0
2008|ago|aut|0
2008|ago|blr|0
2008|ago|blx|3762.0
2008|ago|che|0
2008|ago|cze|0
2008|ago|deu|0
2008|ago|dnk|0
2008|ago|esp|0
2008|ago|fra|0
2008|ago|gbr|4378.0
2008|ago|grc|0
2008|ago|ita|0
2008|ago|nld|1473.0
2008|ago|nor|0
2008|ago|pol|0
2008|ago|prt|40986.0
2008|ago|rus|0
2008|ago|svk|0
2008|ago|swe|10622.0
2008|ago|can|0
2008|ago|dom|5241.0
2008|ago|usa|0
2008|ago|nzl|0
2008|ago|bra|0
2008|bdi|ken|0
2008|bdi|tza|1484.0
2008|bdi|uga|0
2008|bdi|zaf|0
2008|bdi|are|0
2008|bdi|chn|0
2008|bdi|jpn|0
2008|bdi|tha|0
2008|bdi|blx|0
2008|bdi|deu|0
2008|bdi|dnk|0
2008|bdi|esp|0
2008|bdi|fra|0
2008|bdi|gbr|0
2008|bdi|ita|0
2008|bdi|nld|0
2008|bdi|bra|0
2008|ben|civ|11781.0
2008|ben|sen|0
2008|ben|tgo|0
2008|ben|tun|0
2008|ben|zaf|0
2008|ben|are|0
2008|ben|chn|0
2008|ben|jpn|0
2008|ben|kor|0
2008|ben|lbn|0
2008|ben|sgp|0
2008|ben|tha|0
2008|ben|vnm|0
2008|ben|blr|0
2008|ben|blx|0
2008|ben|che|0
2008|ben|deu|5000.0
2008|ben|dnk|0
2008|ben|esp|0
2008|ben|fra|0
2008|ben|gbr|0
2008|ben|hun|0
2008|ben|ita|0
2008|ben|nld|0
2008|ben|svn|1163.0
2008|ben|swe|4157.0
2008|ben|can|0
2008|ben|usa|0
2008|ben|bra|0
2008|bfa|civ|0
2008|bfa|mli|0
2008|bfa|sen|0
2008|bfa|tgo|0
2008|bfa|are|0
2008|bfa|chn|0
2008|bfa|jpn|0
2008|bfa|kor|0
2008|bfa|lbn|0
2008|bfa|tha|0
2008|bfa|tur|0
2008|bfa|aut|0
2008|bfa|blx|0
2008|bfa|che|0
2008|bfa|deu|0
2008|bfa|dnk|0
2008|bfa|esp|0
2008|bfa|fra|8841.0
2008|bfa|gbr|0
2008|bfa|ita|0
2008|bfa|nld|0
2008|bfa|swe|0
2008|bfa|can|0
2008|bfa|usa|0
2008|bfa|aus|0
2008|caf|zaf|0
2008|caf|are|0
2008|caf|chn|0
2008|caf|jpn|0
2008|caf|lbn|7320.0
2008|caf|blx|0
2008|caf|deu|0
2008|caf|dnk|0
2008|caf|fra|2947.0
2008|caf|gbr|0
2008|caf|irl|18067.0
2008|caf|ita|0
2008|caf|nld|0
2008|caf|swe|0
2008|caf|usa|0
2008|caf|bra|0
2008|civ|ben|27313.0
2008|civ|bfa|258521.0
2008|civ|cmr|148280.0
2008|civ|cog|19130.0
2008|civ|egy|3630.0
2008|civ|gab|81014.0
2008|civ|gha|2758.0
2008|civ|gin|12256.0
2008|civ|lbr|26820.0
2008|civ|mar|14624.0
2008|civ|mli|294727.67000000004
2008|civ|mus|0
2008|civ|ner|77074.0
2008|civ|nga|7501.0
2008|civ|sdn|19676.0
2008|civ|tgo|32482.0
2008|civ|tun|0
2008|civ|zaf|0
2008|civ|are|25446.0
2008|civ|bgd|0
2008|civ|chn|0
2008|civ|geo|0
2008|civ|hkg|0
2008|civ|idn|0
2008|civ|ind|0
2008|civ|irn|0
2008|civ|isr|0
2008|civ|jor|0
2008|civ|jpn|0
2008|civ|kor|6199.15
2008|civ|lbn|0
2008|civ|mys|0
2008|civ|sau|0
2008|civ|sgp|0
2008|civ|tha|0
2008|civ|tur|0
2008|civ|xxb|0
2008|civ|aut|0
2008|civ|blx|38182.23
2008|civ|che|0
2008|civ|cze|0
2008|civ|deu|141332.0
2008|civ|dnk|0
2008|civ|esp|0
2008|civ|fin|0
2008|civ|fra|2079641.68
2008|civ|gbr|0
2008|civ|hun|0
2008|civ|irl|0
2008|civ|isl|0
2008|civ|ita|85381.59
2008|civ|mkd|0
2008|civ|nld|30943.0
2008|civ|pol|0
2008|civ|prt|0
2008|civ|rou|0
2008|civ|svk|0
2008|civ|svn|0
2008|civ|swe|0
2008|civ|can|0
2008|civ|mex|0
2008|civ|usa|16877.0
2008|civ|aus|0
2008|civ|arg|0
2008|civ|bra|0
2008|civ|pry|2780.0
2008|civ|xxf|7337.0
2008|civ|xxh|0
2008|cmr|civ|0
2008|cmr|egy|0
2008|cmr|zaf|0
2008|cmr|are|0
2008|cmr|chn|0
2008|cmr|cyp|0
2008|cmr|jpn|0
2008|cmr|kor|2484.0
2008|cmr|lbn|0
2008|cmr|sgp|0
2008|cmr|tha|10433.1
2008|cmr|tur|0
2008|cmr|blx|4958.0
2008|cmr|che|0
2008|cmr|deu|0
2008|cmr|dnk|0
2008|cmr|esp|1517.0
2008|cmr|fin|3318.0
2008|cmr|fra|7367.0
2008|cmr|gbr|63633.0
2008|cmr|grc|0
2008|cmr|irl|0
2008|cmr|ita|3593.0
2008|cmr|nld|0
2008|cmr|prt|0
2008|cmr|svn|0
2008|cmr|swe|0
2008|cmr|can|9616.75
2008|cmr|mex|1012.44
2008|cmr|usa|174869.1
2008|cmr|aus|0
2008|cmr|bra|0
2008|cod|ken|0
2008|cod|tza|1859.0
2008|cod|uga|0
2008|cod|zaf|5020.0
2008|cod|zmb|54289.0
2008|cod|are|5104.0
2008|cod|chn|0
2008|cod|jpn|0
2008|cod|kor|0
2008|cod|lbn|0
2008|cod|tur|0
2008|cod|vnm|0
2008|cod|aut|0
2008|cod|blx|1089.0
2008|cod|che|0
2008|cod|cze|0
2008|cod|deu|28000.0
2008|cod|dnk|0
2008|cod|esp|0
2008|cod|fin|0
2008|cod|fra|0
2008|cod|gbr|0
2008|cod|ita|0
2008|cod|nld|0
2008|cod|prt|0
2008|cod|swe|0
2008|cod|can|0
2008|cod|gtm|0
2008|cod|usa|0
2008|cod|bra|0
2008|cog|civ|0
2008|cog|eth|0
2008|cog|sdn|4719.0
2008|cog|sen|0
2008|cog|tza|0
2008|cog|uga|0
2008|cog|zaf|0
2008|cog|are|0
2008|cog|chn|0
2008|cog|jpn|0
2008|cog|kor|0
2008|cog|lbn|0
2008|cog|tha|0
2008|cog|tur|0
2008|cog|blr|0
2008|cog|blx|1177.0
2008|cog|che|0
2008|cog|cze|0
2008|cog|deu|0
2008|cog|esp|0
2008|cog|fra|42731.0
2008|cog|gbr|4381.0
2008|cog|ita|0
2008|cog|nld|0
2008|cog|nor|0
2008|cog|prt|0
2008|cog|rus|2030.0
2008|cog|swe|0
2008|cog|can|1372.0
2008|cog|usa|0
2008|cog|aus|0
2008|cog|bol|2594.0
2008|cog|bra|0
2008|com|ken|0
2008|com|mdg|0
2008|com|mus|0
2008|com|sen|0
2008|com|tun|0
2008|com|zaf|8918.0
2008|com|are|0
2008|com|chn|0
2008|com|ind|0
2008|com|jpn|0
2008|com|kor|0
2008|com|tha|0
2008|com|tur|0
2008|com|xxb|0
2008|com|aut|0
2008|com|blx|0
2008|com|che|0
2008|com|cze|0
2008|com|deu|0
2008|com|esp|0
2008|com|fin|0
2008|com|fra|4873.2300000000005
2008|com|gbr|0
2008|com|hrv|0
2008|com|hun|0
2008|com|ita|0
2008|com|nld|0
2008|com|pol|0
2008|com|prt|0
2008|com|svk|0
2008|com|swe|0
2008|com|mex|0
2008|com|usa|0
2008|com|aus|0
2008|com|nzl|0
2008|com|arg|0
2008|com|bra|0
2008|cpv|gnb|0
2008|cpv|sen|0
2008|cpv|zaf|0
2008|cpv|are|0
2008|cpv|chn|0
2008|cpv|jpn|0
2008|cpv|kor|0
2008|cpv|tha|0
2008|cpv|tur|0
2008|cpv|aut|0
2008|cpv|blx|0
2008|cpv|deu|2000.0
2008|cpv|esp|0
2008|cpv|fra|0
2008|cpv|ita|0
2008|cpv|nld|0
2008|cpv|prt|8770.0
2008|cpv|rus|0
2008|cpv|swe|3233.0
2008|cpv|usa|0
2008|cpv|bra|0
2008|cpv|xxh|0
2008|dji|eth|0
2008|dji|ken|0
2008|dji|zaf|0
2008|dji|are|0
2008|dji|chn|0
2008|dji|jpn|0
2008|dji|kor|0
2008|dji|pak|0
2008|dji|sgp|0
2008|dji|tha|0
2008|dji|tur|0
2008|dji|blx|0
2008|dji|deu|0
2008|dji|dnk|0
2008|dji|fin|0
2008|dji|fra|1473.0
2008|dji|gbr|0
2008|dji|isl|0
2008|dji|ita|0
2008|dji|nld|0
2008|dji|usa|5743.0
2008|dji|aus|0
2008|dji|nzl|3084.0
2008|dji|bra|0
2008|dza|egy|0
2008|dza|mar|0
2008|dza|mli|422019.0
2008|dza|tun|15389.0
2008|dza|zaf|0
2008|dza|are|0
2008|dza|chn|120878.0
2008|dza|cyp|0
2008|dza|hkg|0
2008|dza|idn|0
2008|dza|ind|0
2008|dza|irn|0
2008|dza|jor|0
2008|dza|jpn|9426.0
2008|dza|kaz|0
2008|dza|kor|0
2008|dza|kwt|0
2008|dza|lbn|0
2008|dza|mdv|0
2008|dza|mys|0
2008|dza|omn|0
2008|dza|pak|0
2008|dza|phl|0
2008|dza|prk|0
2008|dza|sgp|1102.0
2008|dza|syr|0
2008|dza|tha|0
2008|dza|tjk|0
2008|dza|tur|5727579.0
2008|dza|vnm|0
2008|dza|xxb|0
2008|dza|alb|0
2008|dza|aut|0
2008|dza|bgr|0
2008|dza|blr|0
2008|dza|blx|248762.36
2008|dza|che|0
2008|dza|cze|0
2008|dza|deu|0
2008|dza|dnk|0
2008|dza|esp|0
2008|dza|fin|0
2008|dza|fra|198579.83000000002
2008|dza|gbr|0
2008|dza|grc|0
2008|dza|hrv|0
2008|dza|hun|0
2008|dza|ita|0
2008|dza|lva|0
2008|dza|mlt|0
2008|dza|nld|0
2008|dza|nor|0
